sku,product_id,product_name,collection,price,size,gender,category,subcategory,short_description,why_buy_this,best_for,impression,you_will_like_it_if,avoid_if,longevity_score,projection_score,gift_safety_score,fresh_score,floral_score,woody_score,musky_score,oud_score,amber_score,sweet_score,spicy_score,scent_family,key_ingredients,concentration,perfumer,live_url
12480000,oryx-oud-scented-candle-552,ORYX OUD Scented Candle,ORYX,80,Perfume,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX OUD Scented Candle,"Choose ORYX OUD Scented Candle if you want a oud, woody fragrance that feels refined and memorable. It is best for daily wear, gift, all seasons and helps customers understand the scent quickly before buying online.","Daily Wear, Gift, All Seasons",Oud character with a woody touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",7,6,8,40,22,40,40,40,22,40,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20OUD%20Scented%20Candle/552
12490000,oryx-roses-scented-candle-556,ORYX ROSES SCENTED CANDLE,ORYX,80,Perfume,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX ROSES SCENTED CANDLE,"Choose ORYX ROSES SCENTED CANDLE if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",8,7,8,76,96,58,22,22,40,40,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20ROSES%20SCENTED%20CANDLE/556
125900000,oryx-musk-reed-diffuser-558,ORYX MUSK REED DIFFUSER,ORYX,80,100 ML,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX MUSK REED DIFFUSER,"Choose ORYX MUSK REED DIFFUSER if you want a woody, floral fragrance that feels refined and memorable. It is best for evening, winter, luxury gift and helps customers understand the scent quickly before buying online.","Evening, Winter, Luxury Gift",Woody character with a floral touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,8,8,40,40,96,40,22,22,22,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20MUSK%20REED%20DIFFUSER/558
12610000,oryx-rose-reed-diffuser-560,ORYX ROSE REED DIFFUSER,ORYX,80,100,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX ROSE REED DIFFUSER,"Choose ORYX ROSE REED DIFFUSER if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,58,96,58,22,22,40,40,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20ROSE%20REED%20DIFFUSER/560
12600000,oryx-oud-reed-diffuser-562,ORYX OUD REED DIFFUSER,ORYX,80,100 ML,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX OUD REED DIFFUSER,"Choose ORYX OUD REED DIFFUSER if you want a oud, woody fragrance that feels refined and memorable. It is best for daily wear, gift, all seasons and helps customers understand the scent quickly before buying online.","Daily Wear, Gift, All Seasons",Oud character with a woody touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",7,6,8,40,22,40,40,40,22,40,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20OUD%20REED%20DIFFUSER/562
12570000,oryx-rose-hair-mist-570,ORYX ROSE HAIR MIST,ALJAZEERA COLLECTION,110,100 ML,Unisex,PERFUMES,FLOWERS,ORYX ROSE HAIR MIST,"Choose ORYX ROSE HAIR MIST if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",8,7,8,76,96,58,22,22,40,40,22,Floral,See long description,Hair Mist,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20ROSE%20HAIR%20MIST/570
12560000,oryx-oud-hair-mist-572,ORYX OUD HAIR MIST,ORYX PERFUMES,110,100 ML,Unisex,PERFUMES,OUD,ORYX OUD HAIR MIST,"Choose ORYX OUD HAIR MIST if you want a woody, fresh fragrance that feels refined and memorable. It is best for evening, winter, luxury gift and helps customers understand the scent quickly before buying online.","Evening, Winter, Luxury Gift",Woody character with a fresh touch,You enjoy wood perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,7,8,58,22,76,40,40,22,58,22,Wood,See long description,Hair Mist,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20OUD%20HAIR%20MIST/572
12530000,oryx-rose-room-spray-576,ORYX ROSE ROOM SPRAY,ORYX,80,150,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX ROSE ROOM SPRAY,"Choose ORYX ROSE ROOM SPRAY if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",8,7,8,76,96,58,22,22,40,40,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20ROSE%20ROOM%20SPRAY/576
12520000,oryx-oud-room-spray-580,ORYX OUD ROOM SPRAY,ORYX,80,150,Unisex,HOME FRAGRANCES,HOME FRAGRANCES,ORYX OUD ROOM SPRAY,"Choose ORYX OUD ROOM SPRAY if you want a woody, oud fragrance that feels refined and memorable. It is best for daily wear, gift, all seasons and helps customers understand the scent quickly before buying online.","Daily Wear, Gift, All Seasons",Woody character with a oud touch,You enjoy home fragrances perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,40,22,58,40,40,22,40,22,HOME FRAGRANCES,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20OUD%20ROOM%20SPRAY/580
12650000,oryx-iris-582,ORYX IRIS,ALJAZEERA COLLECTION,215,60 ML,Unisex,PERFUMES,FLOWERS,IRIS SOFTNESS WITH REFINED CHARM,"Choose ORYX IRIS if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy ambre perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,58,94,58,22,40,22,40,22,Ambre,See long description,Eau de Parfum,Ilias Ermenidis,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20IRIS/582
12640000,oryx-elite-584,ORYX ELITE,ALJAZEERA COLLECTION,215,60 ML,Unisex,PERFUMES,FLOWERS,ELITE WOODS WITH CONFIDENT WARMTH,"Choose ORYX ELITE if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,22,96,58,40,22,22,58,22,Floral,See long description,Eau de Parfum,Michel Almairac,https://global.aljazeeraperfumes.com/en/product-details/ORYX%20ELITE/584
20253148,heritage-642,HERITAGE,ALJAZEERA PERFUMES,175,70 ML,Unisex,PERFUMES,OUD,ANCESTRAL SCENT CODE,"Choose HERITAGE if you want a woody, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Evening, Winter, Luxury Gift",Woody character with a fresh touch,You enjoy wood perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",9,8,8,76,22,96,40,40,22,58,58,Wood,See long description,Eau de Parfum,Sophie Labbe,https://global.aljazeeraperfumes.com/en/product-details/HERITAGE/642
Main_11990000,los-angeles-648,LOS ANGELES,ALJAZEERA PERFUMES,155,70 ML,Unisex,PERFUMES,OUD,SPICY ELIXIR WITH MUSK,"Choose LOS ANGELES if you want a spicy, floral fragrance that feels refined and memorable. It is best for special occasions and helps customers understand the scent quickly before buying online.",Special Occasions,Spicy character with a floral touch,You enjoy wood perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,8,7,58,58,58,40,40,22,22,94,Wood,See long description,Eau de Parfum,,https://global.aljazeeraperfumes.com/en/product-details/LOS%20ANGELES/648
Main_11980000,moscow-650,MOSCOW,ALJAZEERA COLLECTION,155,70 ML,Unisex,PERFUMES,FLOWERS,ORIENTAL TRAIL OF VANILLA AND OUD,"Choose MOSCOW if you want a fresh, floral fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Fresh character with a floral touch,You enjoy fresh perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",7,6,8,96,94,40,40,40,22,40,22,Fresh,See long description,Eau de Parfum,Bruno Jovanovic,https://global.aljazeeraperfumes.com/en/product-details/MOSCOW/650
Main_11084000,malachite-652,MALACHITE,ALJAZEERA COLLECTION,155,100 ML,Unisex,PERFUMES,FLOWERS,FRESH BURST OF CONFIDENCE,"Choose MALACHITE if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions, Winter, Luxury Gift",Floral character with a woody touch,You enjoy musky perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,8,8,58,96,94,86,22,22,40,22,Musky,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/MALACHITE/652
Main_11087000,granada-654,GRANADA,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,GOLDEN AMBER MEMORY,"Choose GRANADA if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions, Winter, Luxury Gift",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,7,8,22,96,76,40,22,40,40,22,Floral,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/GRANADA/654
Main_11088000,wisteria-656,WISTERIA,ALJAZEERA PERFUMES,155,Perfume,Unisex,PERFUMES,OUD,THE FLORAL ICON OF STRENGTH AND BEAUTY,"Choose WISTERIA if you want a floral, oud fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions, Winter, Luxury Gift",Floral character with a oud touch,You enjoy oud perfumes with a distinctive fragrance character,"You prefer very fresh, light, citrus-only fragrances.",9,8,8,40,94,22,40,90,40,22,22,OUD,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/WISTERIA/656
Main_11089000,cherry-blossom-658,CHERRY BLOSSOM,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,BRIGHT AND JOYFUL FLORAL MEMORY,"Choose CHERRY BLOSSOM if you want a floral, fresh fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy floral perfumes with Bergamot - Pear - Pink Pepper - Jasmine - Rose - Vanilla - Patchouli - Amber,"You prefer very light, simple fragrances with almost no projection.",7,6,8,58,96,40,22,22,40,40,40,Floral,Bergamot - Pear - Pink Pepper - Jasmine - Rose - Vanilla - Patchouli - Amber,Eau de Parfum,Sophie Labbe,https://global.aljazeeraperfumes.com/en/product-details/CHERRY%20BLOSSOM/658
Main_11150000,camouflage-660,CAMOUFLAGE,ALJAZEERA PERFUMES,155,60 ML,Unisex,PERFUMES,FRESH,THE MUSKY TRAIL OF MYSTERIOUS ELEGANCE,"Choose CAMOUFLAGE if you want a floral, musky fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions, Winter, Luxury Gift",Floral character with a musky touch,You enjoy musky perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,8,8,40,94,76,86,22,40,22,40,Musky,See long description,Eau de Parfum,Jean-Luis Sieuzac<br>,https://global.aljazeeraperfumes.com/en/product-details/CAMOUFLAGE/660
Main_11250000,elegant-662,ELEGANT,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,THE MODERN FACE OF FLORAL ELEGANCE,"Choose ELEGANT if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy fresh perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",7,6,8,96,96,40,22,22,40,22,22,Fresh,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/ELEGANT/662
Main_11260000,style-664,STYLE,ALJAZEERA PERFUMES,155,60 ML,Unisex,PERFUMES,FRESH,SYMBOL OF REFINED STRENGTH,"Choose STYLE if you want a musky, fresh fragrance that feels refined and memorable. It is best for daily wear, gift, all seasons and helps customers understand the scent quickly before buying online.","Daily Wear, Gift, All Seasons",Musky character with a fresh touch,You enjoy musky perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,8,8,58,40,40,86,22,22,58,40,Musky,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/STYLE/664
Main_11280000,555-666,555,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,VIBRANT AND ICONIC FLORAL POWER,"Choose 555 if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",7,6,8,40,96,40,40,22,40,22,22,Floral,See long description,Eau de Parfum,,https://global.aljazeeraperfumes.com/en/product-details/555/666
Main_11290000,18-k-668,18 K,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,GOLDEN WARMTH WITH LUXURIOUS DEPTH,"Choose 18 K if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,40,96,58,40,40,22,22,22,Floral,See long description,Eau de Parfum,Laura JB Vera,https://global.aljazeeraperfumes.com/en/product-details/18%20K/668
Main_11300000,palace-670,PALACE,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,ROYAL WOODS AND SOFT AMBER,"Choose PALACE if you want a floral, musky fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a musky touch,You enjoy musky perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",9,8,8,76,94,58,86,22,40,22,40,Musky,See long description,Eau de Parfum,Jean-Luis Sieuzac,https://global.aljazeeraperfumes.com/en/product-details/PALACE/670
Main_11370000,grand-palais-672,GRAND PALAIS,ALJAZEERA COLLECTION,155,60 ML,Unisex,PERFUMES,FLOWERS,FRENCH GRANDEUR IN A REFINED TRAIL,"Choose GRAND PALAIS if you want a floral, woody fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a woody touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",9,7,8,76,96,76,22,22,22,40,40,Floral,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/GRAND%20PALAIS/672
Main_20181683,20th-anniversary-set-674,20TH ANNIVERSARY SET,ALJAZEERA PERFUMES,175,60 ML,Unisex,PERFUMES,FRESH,20TH ANNIVERSARY SET,"Choose 20TH ANNIVERSARY SET if you want a fresh, woody fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Evening, Winter, Luxury Gift",Fresh character with a woody touch,You enjoy fresh perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",9,7,8,96,58,76,22,22,40,22,40,Fresh,See long description,Eau de Parfum,Jean Luis Sieuzac,https://global.aljazeeraperfumes.com/en/product-details/20TH%20ANNIVERSARY%20SET/674
Main_11470000,diamond-676,DIAMOND,ALJAZEERA PERFUMES,155,Perfume,Unisex,PERFUMES,OUD,BOLD AND CHARISMATIC OUD ESSENCE,"Choose DIAMOND if you want a oud, floral fragrance that feels refined and memorable. It is best for evening, winter, luxury gift and helps customers understand the scent quickly before buying online.","Evening, Winter, Luxury Gift",Oud character with a floral touch,You enjoy oud perfumes with a distinctive fragrance character,"You prefer very fresh, light, citrus-only fragrances.",9,8,7,22,58,22,40,90,22,22,22,OUD,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/DIAMOND/676
Main_11480000,pearl-678,PEARL,ALJAZEERA PERFUMES,155,60 ML,Unisex,PERFUMES,OUD,SOFT MUSK WITH LUMINOUS ELEGANCE,"Choose PEARL if you want a floral, woody fragrance that feels refined and memorable. It is best for gift, evening, elegant occasions and helps customers understand the scent quickly before buying online.","Gift, Evening, Elegant Occasions, Winter, Luxury Gift",Floral character with a woody touch,You enjoy wood perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",9,7,8,40,76,76,40,58,22,22,58,Wood,See long description,Eau de Parfum,Laura JB Vera,https://global.aljazeeraperfumes.com/en/product-details/PEARL/678
Main_11500000,venice-680,VENICE,ALJAZEERA PERFUMES,155,70 ML,Unisex,PERFUMES,FRESH,VIBRANT AND ICONIC FLORAL BALLET,"Choose VENICE if you want a floral, fresh fragrance that feels refined and memorable. It is best for daily wear, office, summer and helps customers understand the scent quickly before buying online.","Daily Wear, Office, Summer, Gift, Evening, Elegant Occasions",Floral character with a fresh touch,You enjoy floral perfumes with a distinctive fragrance character,"You prefer very heavy oud, smoky, or extremely sweet perfumes.",7,6,8,76,96,40,40,22,40,58,22,Floral,See long description,Eau de Parfum,Dominique Ropion,https://global.aljazeeraperfumes.com/en/product-details/VENICE/680
Main_11740000,galaxy-682,GALAXY,ALJAZEERA PERFUMES,155,Perfume,Unisex,PERFUMES,OUD,MYSTERIOUS AND STARRY ORIENTAL DEPTH,"Choose GALAXY if you want a oud, woody fragrance that feels refined and memorable. It is best for evening, winter, luxury gift and helps customers understand the scent quickly before buying online.","Evening, Winter, Luxury Gift",Oud character with a woody touch,You enjoy oud perfumes with a distinctive fragrance character,"You prefer very fresh, light, citrus-only fragrances.",9,8,7,58,40,76,22,90,40,40,22,OUD,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/GALAXY/682
Main_10530000,classic-oud-684,CLASSIC OUD,ALJAZEERA PERFUMES,155,100 ML,Unisex,PERFUMES,OUD,TIMELESS AND ICONIC CLASSIC JOURNEY,"Choose CLASSIC OUD if you want a woody, floral fragrance that feels refined and memorable. It is best for daily wear, gift, all seasons and helps customers understand the scent quickly before buying online.","Daily Wear, Gift, All Seasons",Woody character with a floral touch,You enjoy wood perfumes with a distinctive fragrance character,"You prefer very light, simple fragrances with almost no projection.",8,7,8,40,40,58,40,40,40,22,22,Wood,See long description,Eau de Parfum,,https://global.aljazeeraperfumes.com/en/product-details/CLASSIC%20OUD/684
Main_10540000,classic-rose-686,CLASSIC ROSE,ALJAZEERA PERFUMES,155,Perfume,Unisex,PERFUMES,OUD,FRESH AND ICONIC PORTUGUESE ROSE,"Choose CLASSIC ROSE if you want a oud, musky fragrance that feels refined and memorable. It is best for evening, winter, luxury gift and helps customers understand the scent quickly before buying online.","Evening, Winter, Luxury Gift",Oud character with a musky touch,You enjoy oud perfumes with a distinctive fragrance character,"You prefer very fresh, light, citrus-only fragrances.",9,8,7,40,40,22,58,90,40,22,22,OUD,See long description,,,https://global.aljazeeraperfumes.com/en/product-details/CLASSIC%20ROSE/686
